FEN,Move,WhiteElo,BlackElo
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,1773,1852
rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b7b6,1773,1852
rnbqkbnr/p1pppppp/1p6/8/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,f2f4,1773,1852
rn1qkbnr/pbpppppp/1p6/8/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 1 3,c8b7,1773,1852
rn1qkbnr/pbpppppp/1p6/8/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 2 3,b1c3,1773,1852
rn1qkbnr/pbpp1ppp/1p2p3/8/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4,e7e6,1773,1852
rn1qkbnr/pbpp1ppp/1p2p3/8/4PP2/2N2N2/PPPP2PP/R1BQKB1R b KQkq - 1 4,g1f3,1773,1852
rn1qkb1r/pbppnppp/1p2p3/8/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 2 5,g8e7,1773,1852
rn1qkb1r/pbppnppp/1p2p3/1B6/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq - 3 5,f1b5,1773,1852
rn1qkb1r/pbpp1ppp/1p2p1n1/1B6/4PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq - 4 6,e7g6,1773,1852
rn1qkb1r/pbpp1ppp/1p2p1n1/1B6/4PP2/2NP1N2/PPP3PP/R1BQK2R b KQkq - 0 6,d2d3,1773,1852
rn1qk2r/pbpp1ppp/1p2p1n1/1B6/1b2PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq - 1 7,f8b4,1773,1852
rn1qk2r/pbpp1ppp/1p2p1n1/1B6/1b2PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq - 2 7,e1g1,1773,1852
rn1q1rk1/pbpp1ppp/1p2p1n1/1B6/1b2PP2/2NP1N2/PPP3PP/R1BQ1RK1 w - - 3 8,e8g8,1773,1852
rn1q1rk1/pbpp1ppp/1p2p1n1/1B6/1b2PP2/P1NP1N2/1PP3PP/R1BQ1RK1 b - - 0 8,a2a3,1773,1852
rn1q1rk1/pbpp2pp/1p2ppn1/1B6/1b2PP2/P1NP1N2/1PP3PP/R1BQ1RK1 w - - 0 9,f7f6,1773,1852
rn1q1rk1/pbpp2pp/1p2ppn1/1B6/1P2PP2/2NP1N2/1PP3PP/R1BQ1RK1 b - - 0 9,a3b4,1773,1852
rn1q1rk1/1bpp2pp/pp2ppn1/1B6/1P2PP2/2NP1N2/1PP3PP/R1BQ1RK1 w - - 0 10,a7a6,1773,1852
rn1q1rk1/1bpp2pp/pp2ppn1/8/BP2PP2/2NP1N2/1PP3PP/R1BQ1RK1 b - - 1 10,b5a4,1773,1852
rn1q1rk1/1bpp2pp/p3ppn1/1p6/BP2PP2/2NP1N2/1PP3PP/R1BQ1RK1 w - - 0 11,b6b5,1773,1852
rn1q1rk1/1bpp2pp/p3ppn1/1p6/1P2PP2/1BNP1N2/1PP3PP/R1BQ1RK1 b - - 1 11,a4b3,1773,1852
rn1q1rk1/1b1p2pp/p1p1ppn1/1p6/1P2PP2/1BNP1N2/1PP3PP/R1BQ1RK1 w - - 0 12,c7c6,1773,1852
rn1q1rk1/1b1p2pp/p1p1ppn1/1p3P2/1P2P3/1BNP1N2/1PP3PP/R1BQ1RK1 b - - 0 12,f4f5,1773,1852
rn1q1rk1/1b1p2pp/p1p1pp2/1p2nP2/1P2P3/1BNP1N2/1PP3PP/R1BQ1RK1 w - - 1 13,g6e5,1773,1852
rn1q1rk1/1b1p2pp/p1p1Pp2/1p2n3/1P2P3/1BNP1N2/1PP3PP/R1BQ1RK1 b - - 0 13,f5e6,1773,1852
rn1q1rk1/1b4pp/p1p1pp2/1p2n3/1P2P3/1BNP1N2/1PP3PP/R1BQ1RK1 w - - 0 14,d7e6,1773,1852
rn1q1rk1/1b4pp/p1p1Bp2/1p2n3/1P2P3/2NP1N2/1PP3PP/R1BQ1RK1 b - - 0 14,b3e6,1773,1852
rn1q1rk1/1b3npp/p1p1Bp2/1p6/1P2P3/2NP1N2/1PP3PP/R1BQ1RK1 w - - 1 15,e5f7,1773,1852
rn1q1rk1/1b3npp/p1p1Bp2/1p6/1P2P2N/2NP4/1PP3PP/R1BQ1RK1 b - - 2 15,f3h4,1773,1852
