FEN,Move,WhiteElo,BlackElo
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d2d4,2241,2240
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e7e6,2241,2240
rnbqkbnr/pppp1ppp/4p3/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,c1f4,2241,2240
rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,d7d5,2241,2240
rnbqkbnr/ppp2ppp/4p3/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,e2e3,2241,2240
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 1 4,g8f6,2241,2240
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq - 2 4,b1c3,2241,2240
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq - 3 5,f8d6,2241,2240
rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/2N1P1B1/PPP2PPP/R2QKBNR b KQkq - 4 5,f4g3,2241,2240
rnbqk2r/ppp2ppp/4pn2/3p4/3P4/2N1P1b1/PPP2PPP/R2QKBNR w KQkq - 0 6,d6g3,2241,2240
rnbqk2r/ppp2ppp/4pn2/3p4/3P4/2N1P1P1/PPP2PP1/R2QKBNR b KQkq - 0 6,h2g3,2241,2240
rnbq1rk1/ppp2ppp/4pn2/3p4/3P4/2N1P1P1/PPP2PP1/R2QKBNR w KQ - 1 7,e8g8,2241,2240
rnbq1rk1/ppp2ppp/4pn2/3p4/3P4/2N1PNP1/PPP2PP1/R2QKB1R b KQ - 2 7,g1f3,2241,2240
rnbq1rk1/pp3ppp/4pn2/2pp4/3P4/2N1PNP1/PPP2PP1/R2QKB1R w KQ - 0 8,c7c5,2241,2240
rnbq1rk1/pp3ppp/4pn2/2pp4/3P4/2NQPNP1/PPP2PP1/R3KB1R b KQ - 1 8,d1d3,2241,2240
rnbq1rk1/pp3ppp/4pn2/3p4/3p4/2NQPNP1/PPP2PP1/R3KB1R w KQ - 0 9,c5d4,2241,2240
rnbq1rk1/pp3ppp/4pn2/3p4/3P4/2NQ1NP1/PPP2PP1/R3KB1R b KQ - 0 9,e3d4,2241,2240
r1bq1rk1/pp3ppp/2n1pn2/3p4/3P4/2NQ1NP1/PPP2PP1/R3KB1R w KQ - 1 10,b8c6,2241,2240
r1bq1rk1/pp3ppp/2n1pn2/3p4/3P2P1/2NQ1N2/PPP2PP1/R3KB1R b KQ - 0 10,g3g4,2241,2240
r1bq1rk1/pp3p1p/2n1pnp1/3p4/3P2P1/2NQ1N2/PPP2PP1/R3KB1R w KQ - 0 11,g7g6,2241,2240
r1bq1rk1/pp3p1p/2n1pnp1/3p2P1/3P4/2NQ1N2/PPP2PP1/R3KB1R b KQ - 0 11,g4g5,2241,2240
r1bq1rk1/pp3p1p/2n1p1p1/3p2P1/3Pn3/2NQ1N2/PPP2PP1/R3KB1R w KQ - 1 12,f6e4,2241,2240
r1bq1rk1/pp3p1p/2n1p1p1/3p2P1/3PN3/3Q1N2/PPP2PP1/R3KB1R b KQ - 0 12,c3e4,2241,2240
r1bq1rk1/pp3p1p/2n1p1p1/6P1/3Pp3/3Q1N2/PPP2PP1/R3KB1R w KQ - 0 13,d5e4,2241,2240
r1bq1rk1/pp3p1p/2n1p1p1/6P1/3PQ3/5N2/PPP2PP1/R3KB1R b KQ - 0 13,d3e4,2241,2240
r1bq1rk1/pp5p/2n1p1p1/5pP1/3PQ3/5N2/PPP2PP1/R3KB1R w KQ f6 0 14,f7f5,2241,2240
r1bq1rk1/pp5p/2n1p1p1/5pP1/3P3Q/5N2/PPP2PP1/R3KB1R b KQ - 1 14,e4h4,2241,2240
r1bq2k1/pp3r1p/2n1p1p1/5pP1/3P3Q/5N2/PPP2PP1/R3KB1R w KQ - 2 15,f8f7,2241,2240
r1bq2k1/pp3r1p/2n1p1p1/4NpP1/3P3Q/8/PPP2PP1/R3KB1R b KQ - 3 15,f3e5,2241,2240
r1bq2k1/pp3r1p/4p1p1/4npP1/3P3Q/8/PPP2PP1/R3KB1R w KQ - 0 16,c6e5,2241,2240
r1bq2k1/pp3r1p/4p1p1/4PpP1/7Q/8/PPP2PP1/R3KB1R b KQ - 0 16,d4e5,2241,2240
r1b3k1/pp3r1p/4p1p1/q3PpP1/7Q/8/PPP2PP1/R3KB1R w KQ - 1 17,d8a5,2241,2240
r1b3k1/pp3r1p/4p1p1/q3PpP1/7Q/2P5/PP3PP1/R3KB1R b KQ - 0 17,c2c3,2241,2240
r1b3k1/pp3r1p/4p1p1/4qpP1/7Q/2P5/PP3PP1/R3KB1R w KQ - 0 18,a5e5,2241,2240
r1b3k1/pp3r1p/4p1p1/4qpP1/7Q/2P5/PP1K1PP1/R4B1R b - - 1 18,e1d2,2241,2240
r1b3k1/p4r1p/1p2p1p1/4qpP1/7Q/2P5/PP1K1PP1/R4B1R w - - 0 19,b7b6,2241,2240
r1b3k1/p4r1p/1p2p1p1/4qpP1/7Q/2P5/PP1K1PP1/4RB1R b - - 1 19,a1e1,2241,2240
r1b3k1/p4r1p/1p2p1p1/q4pP1/7Q/2P5/PP1K1PP1/4RB1R w - - 2 20,e5a5,2241,2240
r1b3k1/p4r1p/1p2p1p1/q4pP1/7Q/P1P5/1P1K1PP1/4RB1R b - - 0 20,a2a3,2241,2240
r5k1/p4r1p/bp2p1p1/q4pP1/7Q/P1P5/1P1K1PP1/4RB1R w - - 1 21,c8a6,2241,2240
r5k1/p4r1p/Bp2p1p1/q4pP1/7Q/P1P5/1P1K1PP1/4R2R b - - 0 21,f1a6,2241,2240
r5k1/p4r1p/qp2p1p1/5pP1/7Q/P1P5/1P1K1PP1/4R2R w - - 0 22,a5a6,2241,2240
r5k1/p4r1p/qp2p1p1/5pP1/3Q4/P1P5/1P1K1PP1/4R2R b - - 1 22,h4d4,2241,2240
r4rk1/p6p/qp2p1p1/5pP1/3Q4/P1P5/1P1K1PP1/4R2R w - - 2 23,f7f8,2241,2240
r4rk1/p6p/qp2p1p1/5pP1/3Q4/P1P5/1PK2PP1/4R2R b - - 3 23,d2c2,2241,2240
r4rk1/p6p/1p2p1p1/1q3pP1/3Q4/P1P5/1PK2PP1/4R2R w - - 4 24,a6b5,2241,2240
r4rk1/p6p/1p2R1p1/1q3pP1/3Q4/P1P5/1PK2PP1/7R b - - 0 24,e1e6,2241,2240
3r1rk1/p6p/1p2R1p1/1q3pP1/3Q4/P1P5/1PK2PP1/7R w - - 1 25,a8d8,2241,2240
3r1rk1/p6p/1p2R1p1/1q3pP1/8/P1P1Q3/1PK2PP1/7R b - - 2 25,d4e3,2241,2240
3r1rk1/p6p/1p2R1p1/5pP1/q7/P1P1Q3/1PK2PP1/7R w - - 3 26,b5a4,2241,2240
3r1rk1/p6p/1p2R1p1/5pP1/q7/P1P1Q3/1P3PP1/1K5R b - - 4 26,c2b1,2241,2240
5rk1/p6p/1p2R1p1/5pP1/q7/P1P1Q3/1P3PP1/1K1r3R w - - 5 27,d8d1,2241,2240
5rk1/p6p/1p2R1p1/5pP1/q7/P1P1Q3/1P3PP1/1K1R4 b - - 0 27,h1d1,2241,2240
