FEN,Move,WhiteElo,BlackElo
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e3,869,967
rnbqkbnr/ppp1pppp/8/3p4/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d7d5,869,967
rnbqkbnr/ppp1pppp/8/3p4/8/4PQ2/PPPP1PPP/RNB1KBNR b KQkq - 1 2,d1f3,869,967
rnbqkb1r/ppp1pppp/5n2/3p4/8/4PQ2/PPPP1PPP/RNB1KBNR w KQkq - 2 3,g8f6,869,967
rnbqkb1r/ppp1pppp/5n2/3p4/8/2N1PQ2/PPPP1PPP/R1B1KBNR b KQkq - 3 3,b1c3,869,967
rnbqkb1r/ppp2ppp/4pn2/3p4/8/2N1PQ2/PPPP1PPP/R1B1KBNR w KQkq - 0 4,e7e6,869,967
rnbqkb1r/ppp2ppp/4pn2/3p4/4P3/2N2Q2/PPPP1PPP/R1B1KBNR b KQkq - 0 4,e3e4,869,967
rnbqkb1r/ppp2ppp/4p3/3p4/4n3/2N2Q2/PPPP1PPP/R1B1KBNR w KQkq - 0 5,f6e4,869,967
rnbqkb1r/ppp2ppp/4p3/3p4/4N3/5Q2/PPPP1PPP/R1B1KBNR b KQkq - 0 5,c3e4,869,967
rnbqkb1r/ppp2ppp/4p3/8/4p3/5Q2/PPPP1PPP/R1B1KBNR w KQkq - 0 6,d5e4,869,967
rnbqkb1r/ppp2ppp/4p3/8/4Q3/8/PPPP1PPP/R1B1KBNR b KQkq - 0 6,f3e4,869,967
rnbqk2r/ppp2ppp/3bp3/8/4Q3/8/PPPP1PPP/R1B1KBNR w KQkq - 1 7,f8d6,869,967
rnbqk2r/ppp2ppp/3bp3/8/2B1Q3/8/PPPP1PPP/R1B1K1NR b KQkq - 2 7,f1c4,869,967
rnb1k2r/ppp1qppp/3bp3/8/2B1Q3/8/PPPP1PPP/R1B1K1NR w KQkq - 3 8,d8e7,869,967
rnb1k2r/ppp1qppp/3bp3/8/2B3Q1/8/PPPP1PPP/R1B1K1NR b KQkq - 4 8,e4g4,869,967
rnb1k2r/ppp1qp1p/3bp1p1/8/2B3Q1/8/PPPP1PPP/R1B1K1NR w KQkq - 0 9,g7g6,869,967
rnb1k2r/ppp1qp1p/3bp1p1/8/2B3Q1/5N2/PPPP1PPP/R1B1K2R b KQkq - 1 9,g1f3,869,967
r1b1k2r/pppnqp1p/3bp1p1/8/2B3Q1/5N2/PPPP1PPP/R1B1K2R w KQkq - 2 10,b8d7,869,967
r1b1k2r/pppnqp1p/3bp1p1/6N1/2B3Q1/8/PPPP1PPP/R1B1K2R b KQkq - 3 10,f3g5,869,967
r1b1k2r/pppnq2p/3bp1p1/5pN1/2B3Q1/8/PPPP1PPP/R1B1K2R w KQkq - 0 11,f7f5,869,967
r1b1k2r/pppnq2p/3bp1p1/5pN1/2B4Q/8/PPPP1PPP/R1B1K2R b KQkq - 1 11,g4h4,869,967
r1b2rk1/pppnq2p/3bp1p1/5pN1/2B4Q/8/PPPP1PPP/R1B1K2R w KQ - 2 12,e8g8,869,967
r1b2rk1/pppnq2p/3bB1p1/5pN1/7Q/8/PPPP1PPP/R1B1K2R b KQ - 0 12,c4e6,869,967
r1b2r2/pppnq1kp/3bB1p1/5pN1/7Q/8/PPPP1PPP/R1B1K2R w KQ - 1 13,g8g7,869,967
r1b2r2/pppnq1kQ/3bB1p1/5pN1/8/8/PPPP1PPP/R1B1K2R b KQ - 0 13,h4h7,869,967
r1b2r2/pppnq2Q/3bBkp1/5pN1/8/8/PPPP1PPP/R1B1K2R w KQ - 1 14,g7f6,869,967
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,978,996
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5,978,996
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,g1f3,978,996
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,b8c6,978,996
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,d2d4,978,996
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,e5d4,978,996
r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,f3d4,978,996
r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,g8f6,978,996
r1bqkb1r/pppp1ppp/2N2n2/8/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,d4c6,978,996
r1bqkb1r/ppp2ppp/2p2n2/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,d7c6,978,996
r1bQkb1r/ppp2ppp/2p2n2/8/4P3/8/PPP2PPP/RNB1KB1R b KQkq - 0 6,d1d8,978,996
r1bk1b1r/ppp2ppp/2p2n2/8/4P3/8/PPP2PPP/RNB1KB1R w KQ - 0 7,e8d8,978,996
r1bk1b1r/ppp2ppp/2p2n2/8/4P3/3B4/PPP2PPP/RNB1K2R b KQ - 1 7,f1d3,978,996
r2k1b1r/ppp2ppp/2p1bn2/8/4P3/3B4/PPP2PPP/RNB1K2R w KQ - 2 8,c8e6,978,996
r2k1b1r/ppp2ppp/2p1bn2/8/4P3/P2B4/1PP2PPP/RNB1K2R b KQ - 0 8,a2a3,978,996
r4b1r/pppk1ppp/2p1bn2/8/4P3/P2B4/1PP2PPP/RNB1K2R w KQ - 1 9,d8d7,978,996
r4b1r/pppk1ppp/2p1bn2/8/4P3/P2B4/1PP2PPP/RNB2RK1 b - - 2 9,e1g1,978,996
4rb1r/pppk1ppp/2p1bn2/8/4P3/P2B4/1PP2PPP/RNB2RK1 w - - 3 10,a8e8,978,996
4rb1r/pppk1ppp/2p1bn2/8/4P3/P2B4/1PP2PPP/RNBR2K1 b - - 4 10,f1d1,978,996
2k1rb1r/ppp2ppp/2p1bn2/8/4P3/P2B4/1PP2PPP/RNBR2K1 w - - 5 11,d7c8,978,996
2k1rb1r/ppp2ppp/2p1bn2/8/4P3/P2B4/1PPN1PPP/R1BR2K1 b - - 6 11,b1d2,978,996
2kr1b1r/ppp2ppp/2p1bn2/8/4P3/P2B4/1PPN1PPP/R1BR2K1 w - - 7 12,e8d8,978,996
2kr1b1r/ppp2ppp/2p1bn2/8/4P3/P2B1N2/1PP2PPP/R1BR2K1 b - - 8 12,d2f3,978,996
2kr1b1r/ppp2ppp/2p1b3/8/4n3/P2B1N2/1PP2PPP/R1BR2K1 w - - 0 13,f6e4,978,996
2kr1b1r/ppp2ppp/2p1b3/6B1/4n3/P2B1N2/1PP2PPP/R2R2K1 b - - 1 13,c1g5,978,996
2kr1b1r/ppp2ppp/2p1bn2/6B1/8/P2B1N2/1PP2PPP/R2R2K1 w - - 2 14,e4f6,978,996
2kr1b1r/ppp2ppp/2p1bB2/8/8/P2B1N2/1PP2PPP/R2R2K1 b - - 0 14,g5f6,978,996
2kr1b1r/ppp2p1p/2p1bp2/8/8/P2B1N2/1PP2PPP/R2R2K1 w - - 0 15,g7f6,978,996
2kr1b1r/ppp2p1p/2p1bp2/8/4B3/P4N2/1PP2PPP/R2R2K1 b - - 1 15,d3e4,978,996
2k2b1r/ppp2p1p/2p1bp2/8/4B3/P4N2/1PP2PPP/R2r2K1 w - - 0 16,d8d1,978,996
2k2b1r/ppp2p1p/2p1bp2/8/4B3/P4N2/1PP2PPP/3R2K1 b - - 0 16,a1d1,978,996
2k2b1r/ppp2p1p/2p2p2/8/4B1b1/P4N2/1PP2PPP/3R2K1 w - - 1 17,e6g4,978,996
2k2b1r/ppp2p1p/2p2p2/8/4B1b1/P2R1N2/1PP2PPP/6K1 b - - 2 17,d1d3,978,996
2k4r/ppp2pbp/2p2p2/8/4B1b1/P2R1N2/1PP2PPP/6K1 w - - 3 18,f8g7,978,996
2k4r/ppp2pbp/2p2p2/8/4B1b1/P2R1N1P/1PP2PP1/6K1 b - - 0 18,h2h3,978,996
2kr4/ppp2pbp/2p2p2/8/4B1b1/P2R1N1P/1PP2PP1/6K1 w - - 1 19,h8d8,978,996
2kr4/ppp2pbp/2p2p2/8/4B1P1/P2R1N2/1PP2PP1/6K1 b - - 0 19,h3g4,978,996
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4,961,944
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,c7c5,961,944
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,g1f3,961,944
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,b8c6,961,944
r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,d2d4,961,944
r1bqkbnr/pp1ppppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,c5d4,961,944
r1bqkbnr/pp1ppppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,f3d4,961,944
r1bqkbnr/pp1ppppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,c6d4,961,944
r1bqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KB1R b KQkq - 0 5,d1d4,961,944
r1bqkbnr/pp2pppp/3p4/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq - 0 6,d7d6,961,944
r1bqkbnr/pp2pppp/3p4/8/3QP3/2N5/PPP2PPP/R1B1KB1R b KQkq - 1 6,b1c3,961,944
r1bqkb1r/pp2pppp/3p1n2/8/3QP3/2N5/PPP2PPP/R1B1KB1R w KQkq - 2 7,g8f6,961,944
r1bqkb1r/pp2pppp/3p1n2/8/2BQP3/2N5/PPP2PPP/R1B1K2R b KQkq - 3 7,f1c4,961,944
r1bqkb1r/pp3ppp/3ppn2/8/2BQP3/2N5/PPP2PPP/R1B1K2R w KQkq - 0 8,e7e6,961,944
r1bqkb1r/pp3ppp/3ppn2/4P3/2BQ4/2N5/PPP2PPP/R1B1K2R b KQkq - 0 8,e4e5,961,944
r1bqkb1r/pp3ppp/4pn2/4p3/2BQ4/2N5/PPP2PPP/R1B1K2R w KQkq - 0 9,d6e5,961,944
r1bqkb1r/pp3ppp/4pn2/4Q3/2B5/2N5/PPP2PPP/R1B1K2R b KQkq - 0 9,d4e5,961,944
r1bqk2r/pp3ppp/3bpn2/4Q3/2B5/2N5/PPP2PPP/R1B1K2R w KQkq - 1 10,f8d6,961,944
r1bqk2r/pp3ppp/3bpn2/1Q6/2B5/2N5/PPP2PPP/R1B1K2R b KQkq - 2 10,e5b5,961,944
r1b1k2r/pp1q1ppp/3bpn2/1Q6/2B5/2N5/PPP2PPP/R1B1K2R w KQkq - 3 11,d8d7,961,944
r1b1k2r/pp1Q1ppp/3bpn2/8/2B5/2N5/PPP2PPP/R1B1K2R b KQkq - 0 11,b5d7,961,944
r3k2r/pp1b1ppp/3bpn2/8/2B5/2N5/PPP2PPP/R1B1K2R w KQkq - 0 12,c8d7,961,944
r3k2r/pp1b1ppp/3bpn2/8/2B5/2N5/PPP2PPP/R1B2RK1 b kq - 1 12,e1g1,961,944
r4rk1/pp1b1ppp/3bpn2/8/2B5/2N5/PPP2PPP/R1B2RK1 w - - 2 13,e8g8,961,944
r4rk1/pp1b1ppp/3bpn2/8/2B5/2N5/PPP2PPP/R1B1R1K1 b - - 3 13,f1e1,961,944
r4rk1/p2b1ppp/3bpn2/1p6/2B5/2N5/PPP2PPP/R1B1R1K1 w - - 0 14,b7b5,961,944
r4rk1/p2b1ppp/3bpn2/1B6/8/2N5/PPP2PPP/R1B1R1K1 b - - 0 14,c4b5,961,944
r4rk1/p4ppp/3bpn2/1b6/8/2N5/PPP2PPP/R1B1R1K1 w - - 0 15,d7b5,961,944
